Name,Total Rating,Review Count,Price Range,Address Region,Food,Service,Value,Atmosphere,Excellent,Very good,Average,Poor,Terrible
Sobanomi Yoshimura,4.5,323,$$ - $$$,Kinki,4.5,4.5,4.5,4.5,60%,30%,8%,1%,1%
Fortune Garden Kyoto,4.5,239,$$ - $$$,Kinki,,,,,,,,,
% Arabica  Kyoto Higashiyama,4.5,403,$$ - $$$,Kinki,4.5,4.5,4.0,5.0,69%,23%,7%,0%,1%
Ippudo Nishikikoji,4.5,979,$$ - $$$,Kinki,,,,,,,,,
Yamamotomenzo,4.5,167,$$ - $$$,Kinki,4.5,4.5,4.5,4.0,64%,26%,8%,1%,1%
"Katsukura, Sanjo Honten",4.5,514,$$ - $$$,Kinki,4.5,4.5,4.0,4.0,63%,30%,5%,1%,1%
Demachi Futaba,4.5,374,$$ - $$$,Kinki,4.5,4.0,4.0,4.0,52%,41%,6%,1%,0%
1596,4.5,140,$$ - $$$,Kinki,,,,,,,,,
Steak House Pound Shijokawaramachi,4.5,280,$$ - $$$,Kinki,4.0,4.5,4.0,,68%,22%,5%,3%,2%
Smile Burger Kiyomizudera,4.5,86,$$ - $$$,Kinki,5.0,4.5,4.5,4.5,73%,26%,1%,0%,0%
Arabica Arashiyama,4.5,174,$$ - $$$,Kinki,4.5,4.0,4.0,,58%,32%,8%,1%,1%
Kyoto Gion Tempura Endo Yasaka Honten,4.5,362,$$$$,Kinki,4.5,4.5,4.0,4.5,65%,23%,7%,3%,2%
Kura Kura,4.5,199,$$ - $$$,Kinki,4.5,4.5,4.5,4.5,67%,22%,6%,3%,2%
Ginjoramenkubota,4.5,140,$$ - $$$,Kinki,4.5,4.0,4.5,4.5,71%,19%,7%,2%,1%
Unagiya Hirokawa,4.5,221,$$ - $$$,Kinki,,,,,,,,,
Saishuan Shiraki,5.0,90,$$ - $$$,Kinki,,,,,,,,,
Meat Kappo Bar Gyugyu Gion Honten,4.5,173,$$ - $$$,Kinki,4.0,4.0,3.5,,59%,30%,6%,2%,3%
Shunsai Tempura Arima,4.5,163,$$ - $$$,Kinki,4.5,4.5,4.0,4.0,65%,28%,3%,3%,1%
Gion Tanto,4.5,271,$$ - $$$,Kinki,4.5,4.0,4.0,4.5,55%,33%,8%,3%,1%
Myodai Omen Ginkakuji Honten,4.5,280,$$ - $$$,Kinki,4.5,4.0,4.0,4.0,50%,41%,7%,1%,1%
Kagizen Yoshifusa Honten,4.5,206,$$ - $$$,Kinki,4.5,4.0,4.0,4.0,53%,35%,10%,1%,1%
Kyoto Takabashi Honke Daiichi Asahi,4.5,497,$,Kinki,4.5,4.0,4.5,3.5,55%,33%,10%,1%,1%
Tonkatsu Wako,4.5,187,$$ - $$$,Kinki,4.5,4.5,4.5,4.0,50%,40%,8%,1%,1%
Maguro Factory,5.0,101,$$$$,Kinki,4.5,4.5,3.5,,87%,11%,1%,0%,1%
Ramen Muraji Kyoto Gion,4.5,145,$$ - $$$,Kinki,,,,,,,,,
"Tonshabu Hide, Kyoto Shijo Karasuma",5.0,53,,Kinki,,,,,96%,3%,1%,0%,0%
Kyo no Yakinikudokoro Hiro Sembon Sanjo Honten,4.5,151,$$ - $$$,Kinki,4.5,4.5,4.0,4.5,62%,32%,4%,2%,0%
The Sodoh Higashiyama Kyoto,4.5,306,$$$$,Kinki,4.5,4.5,4.0,4.5,58%,32%,5%,3%,2%
Saryo Tsujiri Gion Honten,4.5,251,$$ - $$$,Kinki,4.5,4.0,4.0,4.0,52%,34%,13%,1%,0%
Ramen Sen no Kaze Kyoto,4.5,811,$,Kinki,4.5,4.5,4.5,,66%,20%,8%,4%,2%
Kyochabana Minami-Shinmachi,4.5,94,$$ - $$$,Kinki,4.0,4.5,4.0,,72%,21%,4%,2%,1%
Okakita,4.5,150,$$ - $$$,Kinki,,,,,,,,,
Pound Shijo Omiya,4.5,76,$$ - $$$,Kinki,4.5,4.5,4.5,,78%,18%,3%,1%,0%
"Musoshin, Gion",4.5,339,$,Kinki,4.5,4.5,4.5,,60%,26%,8%,2%,4%
Tiger Gyoza Kaikan Shijo Karasuma,4.5,310,$$ - $$$,Kinki,,,,,,,,,
AIN SOPH. journey Kyoto,5.0,52,$$ - $$$,Kinki,5.0,4.5,4.5,,92%,7%,1%,0%,0%
Ichiran Kyoto Kawaramachi,4.5,284,$$ - $$$,Kinki,4.5,4.0,4.0,4.0,50%,37%,10%,2%,1%
Maboya,4.5,80,$,Kinki,,,,,,,,,
Kurasu,5.0,61,$,Kinki,,,,,,,,,
Tempura Yoshikawa,4.5,242,$$$$,Kinki,4.5,4.5,4.0,4.5,67%,20%,9%,2%,2%
Ittetsu Grazie,4.5,131,$$ - $$$,Kinki,4.5,4.5,4.0,,64%,26%,7%,2%,1%
Gojo Paradiso - Restaurant & Bar,4.5,192,$$ - $$$,Kinki,4.5,5.0,4.5,,78%,9%,6%,4%,3%
Shoraian,4.5,122,$$$$,Kinki,4.5,4.5,4.0,5.0,66%,31%,1%,1%,1%
Okariba,4.5,97,$$ - $$$,Kinki,5.0,5.0,4.5,5.0,81%,15%,2%,1%,1%
Mughal Indian Restaurant,4.5,132,$$ - $$$,Kinki,4.5,4.5,4.0,4.0,61%,28%,8%,2%,1%
Nadai Tonkatsu Katsukura Shijo Higashi no Toin,4.5,117,$$ - $$$,Kinki,4.5,4.5,4.0,4.0,50%,42%,7%,0%,1%
Le Bouchon,4.5,166,$$ - $$$,Kinki,4.5,4.5,4.5,4.0,69%,23%,4%,2%,2%
ITOH DINING KYOTO,4.0,418,$$$$,Kinki,4.5,4.0,3.5,4.0,60%,20%,10%,6%,4%
Yashima Niyama Shijo Karasuma,5.0,57,$$$$,Kinki,,,,,,,,,
Musashi Sushi,4.0,944,$,Kinki,,,,,,,,,
Gyuurakutei,4.5,77,$$ - $$$,Kinki,,,,,,,,,
"Shinshindo, Sanjo Kawaramachi",4.0,237,$$ - $$$,Kinki,4.5,4.5,4.0,4.0,46%,41%,10%,2%,1%
Sushi no Musashi JR Kyoto Station 8-jo Entrance,4.0,632,$,Kinki,4.5,4.0,4.5,3.5,46%,40%,11%,2%,1%
Smart Coffee,4.0,146,$$ - $$$,Kinki,,,,,,,,,
Mumokuteki Cafe,4.5,136,$$ - $$$,Kinki,,,,,,,,,
Honke Owariya Main Branch,4.0,143,$$ - $$$,Kinki,4.0,4.0,4.0,,43%,39%,16%,1%,1%
Gion Matsudaya,4.5,92,$$$$,Kinki,5.0,5.0,4.5,,84%,9%,5%,1%,1%
Gyoza Hohei,4.5,109,$,Kinki,4.5,4.0,4.5,,65%,25%,10%,0%,0%
Ayam Ya,4.5,115,$,Kinki,4.5,4.5,4.5,,57%,29%,13%,1%,0%
Inoda Coffee Honten,4.0,328,$$ - $$$,Kinki,4.0,4.0,3.5,4.5,34%,49%,15%,1%,1%
Guilo Guilo Hitoshina,4.5,242,$$ - $$$,Kinki,4.5,4.0,4.5,4.0,63%,21%,7%,5%,4%
Kikunoi,4.5,264,$$$$,Kinki,,,,,,,,,
Myodai Omen Kodaiji,4.5,129,$$ - $$$,Kinki,4.5,4.0,4.0,4.0,44%,49%,5%,1%,1%
A la Chalamont,4.5,121,$$ - $$$,Kinki,4.5,5.0,4.5,4.5,73%,21%,2%,3%,1%
Sushi Tetsu Pontocho  ,4.5,219,$$ - $$$,Kinki,4.5,4.5,4.5,4.5,57%,29%,6%,5%,3%
Kaiten Sushi CHOJIRO Shijyokiyamachi,4.5,1078,$$ - $$$,Kinki,4.5,4.5,4.5,4.0,55%,29%,10%,4%,2%
Donguri Shijokarasuma,4.0,189,$$ - $$$,Kinki,4.5,4.0,4.5,4.0,47%,41%,8%,2%,2%
Gion Yata,4.5,89,$$ - $$$,Kinki,4.5,4.5,4.0,4.5,72%,21%,6%,1%,0%
Karako,4.5,120,$,Kinki,4.5,4.5,4.5,4.0,72%,21%,4%,2%,1%
Tsuruhashi Fugetsu Kyoto Yodobashi Okonomiyaki,4.5,57,$$ - $$$,Kinki,,,,,,,,,
Kyoto Engine Ramen,5.0,41,$$ - $$$,Kinki,5.0,5.0,4.5,,93%,7%,0%,0%,0%
Okonomiyaki Machiya. Porta,4.0,207,$$ - $$$,Kinki,4.5,4.0,4.0,,38%,47%,13%,1%,1%
551 Horai JR Kyototen,4.0,168,$,Kinki,4.0,4.0,4.5,3.5,36%,46%,17%,1%,0%
Kashin,5.0,46,$$ - $$$,Kinki,5.0,4.5,4.0,,92%,8%,0%,0%,0%
Marugame Seimen Kawaramachi Sanjo,4.5,95,$,Kinki,4.5,4.0,4.5,,62%,28%,8%,2%,0%
Starbucks Coffee Kyoto Karasuma-rokkaku Shop,4.5,135,$$ - $$$,Kinki,4.0,4.0,3.5,5.0,40%,51%,6%,2%,1%
Desssert  Cafe Chourakukan,4.5,91,$$$$,Kinki,4.0,4.5,3.5,5.0,55%,40%,5%,0%,0%
Nikubaru Ginjiro Pontocho,4.5,96,$$ - $$$,Kinki,4.0,4.0,3.5,,68%,23%,3%,3%,3%
Tagoto Kyoto Station Porta,4.0,106,$$ - $$$,Kinki,3.5,3.5,3.5,,40%,45%,13%,1%,1%
Torisei Honten,4.0,142,$$ - $$$,Kinki,4.5,4.0,4.0,4.5,34%,54%,10%,2%,0%
Kyoto Nishiki Tempura Sakaba Taneshichi,4.5,62,$$ - $$$,Kinki,,,,,,,,,
Rigoletto Smoke Grill & Bar,4.0,210,$$ - $$$,Kinki,,,,,,,,,
Starbucks Coffee Kyoto Sanjo-ohashi Shop,4.0,170,$$ - $$$,Kinki,,,,,,,,,
Arashiyama Yoshimura,4.0,181,$$ - $$$,Kinki,,,,,,,,,
Saijiki Toshigami,4.5,93,$$ - $$$,Kinki,5.0,4.5,4.5,,78%,13%,5%,3%,1%
Kyoto Gogyo,4.0,616,$$ - $$$,Kinki,,,,,,,,,
Kushikura Honten,4.0,176,$$ - $$$,Kinki,4.5,4.0,4.0,4.5,39%,49%,8%,3%,1%
Fishbowl,4.5,110,$$ - $$$,Kinki,4.5,5.0,4.5,4.5,80%,14%,2%,1%,3%
Steak House Pound Kyoto Honten,4.5,84,$$ - $$$,Kinki,,,,,,,,,
Breizh Cafe Kyoto,4.5,62,$$ - $$$,Kinki,4.5,4.5,4.5,,59%,38%,3%,0%,0%
Izuju,4.0,228,$$ - $$$,Kinki,,,,,,,,,
Tagoto The CUBE,4.5,104,$$ - $$$,Kinki,4.0,4.0,3.5,,42%,45%,10%,2%,1%
Gion Lupin,5.0,40,$$ - $$$,Kinki,,,,,,,,,
Shinpukusaikan,4.0,258,$$ - $$$,Kinki,4.0,3.5,4.0,3.0,25%,52%,20%,2%,1%
Pizzeria Lugara,5.0,36,$$ - $$$,Kinki,,,,,,,,,
Gion Tokuya,4.5,79,,Kinki,4.5,4.0,3.5,4.0,51%,43%,6%,0%,0%
Pontocho Yakiniku Yaruki,4.5,72,$$ - $$$,Kinki,,,,,66%,27%,4%,2%,1%
La Jolla,4.5,179,$$ - $$$,Kinki,4.5,4.5,4.5,4.5,69%,16%,7%,5%,3%
Kikunoi Roan,4.5,147,$$$$,Kinki,4.5,4.5,4.0,4.5,64%,23%,7%,4%,2%
"Wabiya Korekido, Gion Hanamikoji Honten",4.5,188,$$ - $$$,Kinki,,,,,,,,,
La Locanda,4.5,111,$$$$,Kinki,4.5,4.5,4.0,4.5,63%,30%,5%,1%,1%
Ippodo Chaho Kisashitsu Kaboku,4.5,66,$$ - $$$,Kinki,,,,,,,,,
Shomin,4.5,71,$,Kinki,4.5,4.0,5.0,,68%,30%,1%,0%,1%
Kitchen Rakuraku,5.0,59,$$ - $$$,Kinki,4.5,5.0,4.5,4.5,91%,5%,3%,1%,0%
Moritaya Kiyamachi,4.5,134,$$$$,Kinki,4.5,4.5,4.0,4.0,54%,35%,7%,1%,3%
Myoudai Omen Shijo Pontocho,4.0,134,$$ - $$$,Kinki,,,,,,,,,
Kara-Kusa Curry,5.0,42,$,Kinki,4.5,5.0,4.5,,81%,19%,0%,0%,0%
Nanzenji Junsei,4.0,256,$$ - $$$,Kinki,4.0,4.0,3.5,4.5,33%,44%,15%,7%,1%
Taishou Hanana,4.5,100,$$ - $$$,Kinki,4.5,4.5,4.0,4.5,65%,28%,3%,1%,3%
Gyoza Bar Anzukko,4.5,152,$$ - $$$,Kinki,4.5,4.5,4.5,4.5,77%,11%,5%,4%,3%
Hinode Udon,4.5,82,$$ - $$$,Kinki,4.5,4.5,4.0,4.0,53%,39%,7%,1%,0%
Hanamichi,5.0,68,$$ - $$$,Kinki,4.5,4.5,4.5,,89%,8%,0%,1%,2%
Pontocho Kappa Zushi,4.5,154,$$ - $$$,Kinki,4.5,4.5,4.0,4.0,57%,28%,9%,3%,3%
Ramen Kairikiya Kawaharamachi Sanjo,4.5,117,$,Kinki,4.5,4.5,4.0,3.5,55%,33%,8%,1%,3%
J's Bar,5.0,34,$$ - $$$,Kinki,,,,,100%,0%,0%,0%,0%
Abura Soba Nekomata,4.5,105,$,Kinki,,,,,,,,,
Issen Yoshoku,4.0,290,$,Kinki,4.0,4.0,4.0,3.5,28%,48%,18%,4%,2%
DRAGON BURGER KYOTO,4.5,56,$$ - $$$,Kinki,4.5,4.5,4.0,,66%,30%,3%,0%,1%
Sushi Shigetomi,4.5,101,$$ - $$$,Kinki,4.5,4.5,4.5,,83%,9%,1%,5%,2%
Kyo Apollo Rokkaku,4.5,68,$$ - $$$,Kinki,4.5,4.5,4.5,4.5,54%,44%,1%,1%,0%
Mizuki,4.5,89,$$$$,Kinki,4.5,5.0,4.5,5.0,74%,16%,5%,3%,2%
Kushiyaki Manten 4jo Karasuma,4.5,58,$$ - $$$,Kinki,4.0,4.0,4.0,,71%,22%,5%,1%,1%
Mishimatei Honten,4.0,221,$$$$,Kinki,4.5,4.0,3.5,4.0,47%,36%,9%,3%,5%
Ristorante Dei Cacciatori,4.5,101,$$$$,Kinki,5.0,5.0,4.5,4.5,82%,11%,2%,3%,2%
Kyotofu Fujino,4.5,67,$$ - $$$,Kinki,4.5,4.5,4.0,4.0,68%,29%,2%,0%,1%
Okonomiyaki Kiraku Kiyomizugojozakaten,4.5,107,$$ - $$$,Kinki,4.5,4.0,4.5,4.0,45%,50%,2%,1%,2%
Nishiki Sushi Shin,5.0,35,$$$$,Kinki,,,,,,,,,
KYK Kyoto Porta,4.0,106,$$ - $$$,Kinki,4.5,4.0,4.0,3.5,32%,53%,14%,0%,1%
Kyoushikian,4.5,73,$$ - $$$,Kinki,,,,,,,,,
Local SAKE and BEER Stand -SANSARO-,5.0,44,$$ - $$$,Kinki,4.5,5.0,4.5,,83%,13%,4%,0%,0%
Ramen Kazu Kinkakujiten,4.5,82,$$ - $$$,Kinki,,,,,,,,,
Mikaku,4.5,110,$$$$,Kinki,,,,,,,,,
Menya Takakura Nijo,4.5,63,$$ - $$$,Kinki,4.5,4.0,4.5,,68%,25%,6%,1%,0%
Motoi,4.5,54,$$$$,Kinki,5.0,5.0,4.5,4.5,77%,16%,7%,0%,0%
Jumbo Yakitori Torikizoku Sanjo Kawaramachi-dori,4.0,119,$,Kinki,4.5,4.0,4.5,,46%,40%,9%,1%,4%
Ukishima Garden Kyoto,4.5,61,$$ - $$$,Kinki,5.0,5.0,4.5,,68%,21%,8%,3%,0%
Shinsengumi,4.5,42,$$ - $$$,Kinki,,,,,65%,35%,0%,0%,0%
Grand Burger,4.5,51,$$ - $$$,Kinki,5.0,5.0,4.5,,68%,29%,3%,0%,0%
Grill Kodakara,4.5,65,$$ - $$$,Kinki,4.5,4.5,4.0,4.0,38%,55%,7%,0%,0%
Junidanya Hanamikoji,4.5,70,$$ - $$$,Kinki,4.5,4.5,4.0,4.5,57%,35%,7%,0%,1%
Malebranche JR Kyoto Isetan Salon,4.0,97,$$ - $$$,Kinki,4.0,4.0,3.5,4.0,34%,47%,17%,1%,1%
Trattoria Sette,4.0,166,$$ - $$$,Kinki,4.5,4.0,4.0,4.5,37%,41%,15%,6%,1%
Beppinya,5.0,37,$$ - $$$,Kinki,5.0,4.5,4.5,,88%,10%,2%,0%,0%
Okonomiyaki Kiraku Sanjo Honten,4.5,73,$$ - $$$,Kinki,4.5,4.5,4.5,4.0,60%,34%,2%,0%,4%
Kyo no Yakinikudokoro Hiro Sanjo-kiyamachi,4.5,73,$$ - $$$,Kinki,4.5,4.0,4.0,4.5,55%,38%,5%,1%,1%
Ishibekoji Kamikura,5.0,47,$$$$,Kinki,,,,,,,,,
Tato,4.5,72,$$ - $$$,Kinki,4.5,4.5,4.5,5.0,78%,15%,5%,0%,2%
Mimikou,4.5,72,$$ - $$$,Kinki,4.5,4.0,4.0,,50%,40%,8%,1%,1%
Tenkaippin Honten,4.0,86,$$ - $$$,Kinki,4.0,3.5,4.0,3.5,41%,45%,12%,1%,1%
"Menya Shichifukujin, Horikawaoike",4.0,138,$$ - $$$,Kinki,4.5,4.0,4.5,,39%,45%,8%,4%,4%
Wajoryomen Sugari,4.5,55,$$ - $$$,Kinki,4.5,4.5,4.0,,65%,23%,12%,0%,0%
Hanbey,4.5,78,$$ - $$$,Kinki,4.5,4.5,4.0,4.5,41%,53%,5%,0%,1%
Moritaya JR Kyotoisetanten,4.0,99,$$$$,Kinki,4.5,4.0,3.5,4.0,31%,56%,9%,3%,1%
Hashitate,4.0,104,$$ - $$$,Kinki,4.5,4.0,3.5,4.0,24%,57%,16%,3%,0%
Starbucks Coffee Kyoto Ninenzaka Yasaka Chaya,4.0,90,$$ - $$$,Kinki,4.0,4.0,4.0,,38%,42%,15%,4%,1%
Sukemasa,4.5,75,$$ - $$$,Kinki,4.5,4.0,4.5,,54%,34%,10%,1%,1%
Kasagiya,4.5,66,$$ - $$$,Kinki,4.5,4.0,4.0,4.5,56%,39%,4%,0%,1%
Morphocafe,4.5,53,$$ - $$$,Kinki,4.5,4.5,4.5,4.5,68%,30%,1%,1%,0%
Gion Namba,4.5,110,$$$$,Kinki,4.5,4.5,4.0,4.5,67%,20%,7%,2%,4%
La Baraka,4.5,43,$$ - $$$,Kinki,4.5,4.5,4.0,,78%,20%,0%,0%,2%
Hamburg Labo,4.5,62,$$ - $$$,Kinki,4.5,4.0,4.0,,56%,32%,11%,1%,0%
Yudofu Sagano,4.5,80,$$ - $$$,Kinki,4.5,4.0,3.5,5.0,47%,42%,8%,2%,1%
Itadaki Kingaku-ji,4.5,46,$$ - $$$,Kinki,4.0,4.5,4.5,,57%,41%,2%,0%,0%
Kappo Sakamoto,4.5,49,$$$$,Kinki,5.0,5.0,4.5,,76%,18%,4%,2%,0%
Ramen Hiwamata Noboru,4.5,57,$,Kinki,4.5,4.0,4.0,,61%,24%,14%,0%,1%
Hello Dolly,4.5,76,$$ - $$$,Kinki,4.0,4.5,4.0,5.0,60%,31%,3%,5%,1%
Sushi Ikkan,5.0,50,$$ - $$$,Kinki,5.0,5.0,5.0,,90%,4%,0%,4%,2%
Gion Karyo,4.0,157,$$$$,Kinki,4.5,4.5,4.0,4.0,65%,17%,5%,6%,7%
Inoichi,4.5,44,$$ - $$$,Kinki,4.5,4.5,4.5,,71%,20%,9%,0%,0%
Nadai Tonkatsu Katsukura Shijo Teramachi,4.5,71,$$ - $$$,Kinki,4.5,4.0,4.0,,59%,32%,4%,4%,1%
Kyoto Kitcho Arashiyama,4.5,94,$$$$,Kinki,4.5,5.0,4.0,5.0,69%,19%,5%,4%,3%
Gion Kurashita,4.5,76,$$$$,Kinki,4.5,4.5,4.0,,60%,32%,1%,0%,7%
Indonesian Sama Sama,4.5,47,$$ - $$$,Kinki,5.0,5.0,4.5,,82%,14%,0%,2%,2%
Janbo,4.5,55,$$ - $$$,Kinki,4.5,4.0,5.0,3.5,64%,32%,3%,1%,0%
Veg Out,4.5,88,$$ - $$$,Kinki,,,,,,,,,
Yasubee,4.5,40,$$ - $$$,Kinki,4.5,4.5,4.5,,65%,30%,5%,0%,0%
551 Horai,4.0,78,$,Kinki,4.0,4.0,4.0,3.5,34%,47%,19%,0%,0%
Togaden,4.5,45,$$ - $$$,Kinki,4.5,4.0,4.5,4.0,61%,35%,4%,0%,0%
Misoguigawa,4.5,63,$$$$,Kinki,4.5,4.5,4.0,4.5,73%,19%,6%,1%,1%
L' Escamoteur,5.0,30,$$ - $$$,Kinki,,5.0,4.5,,97%,3%,0%,0%,0%
Blue Bottle Coffee Kyoto Cafe,4.5,39,$$ - $$$,Kinki,4.0,4.0,3.5,,60%,33%,7%,0%,0%
Grill Capital Toyotei,4.0,64,$$ - $$$,Kinki,4.0,4.0,3.5,4.0,26%,65%,9%,0%,0%
Istanbul Saray,4.5,38,$$ - $$$,Kinki,5.0,4.5,4.5,,83%,15%,0%,0%,2%
"Starbucks Coffee, Kyoto Tower",4.0,99,$$ - $$$,Kinki,4.0,4.5,4.0,3.5,19%,54%,26%,1%,0%
"Cafe & Bar, Len Kyoto Kawaramachi",4.5,83,$$ - $$$,Kinki,4.5,4.5,4.0,,60%,32%,2%,2%,4%
Gyukatsu Kyoto Katsugyu Kiyomizu Gojozaka,4.5,74,$$ - $$$,Kinki,,,,,,,,,
Hyoteihonten,4.0,141,$$$$,Kinki,4.0,4.0,3.5,4.0,54%,25%,16%,2%,3%
"Nakau, Kyoto Hachijoguchi",4.0,105,$,Kinki,4.0,4.0,4.5,,22%,52%,24%,2%,0%
TowZen,5.0,38,$$ - $$$,Kinki,5.0,4.5,4.5,4.5,83%,15%,2%,0%,0%
"Ootoya, Kyoto Sanjo Kamogawa",4.0,62,$$ - $$$,Kinki,4.5,4.5,4.5,,32%,56%,11%,1%,0%
Steak House Yoshida,4.5,122,$$$$,Kinki,4.5,4.5,3.5,4.5,62%,21%,8%,5%,4%
Capital Touyoutei Honten,4.0,68,$$ - $$$,Kinki,4.5,4.0,4.0,3.5,33%,58%,8%,0%,1%
Yoshiharu,4.5,34,$$ - $$$,Kinki,5.0,5.0,5.0,,78%,20%,2%,0%,0%
Man in the Moon Kyoto station,4.0,116,$$ - $$$,Kinki,4.0,4.0,3.5,4.0,46%,29%,20%,4%,1%
