JapneseName,EnglishName,TotalRating,NearstStation,FoodCategory,LunchRating,DinnerRating,ReviewCounts,Dishes,Service,Atmosphere,Cost performance,Drink
TRATTORIA GANZO,TRATTORIA GANZO,3.93,Ginza,Italian,3.93,-,66,3.93,3.59,3.59,3.98,3.61
ワイ アンド エム バー・キスリング,Y&M Bar KISLING,3.93,Ginza,Bar,3.93,3.04,56,3.77,3.88,3.85,3.58,3.96
ロムデュタン シニエ ア・ニュ,L'homme du temps signé à nu,3.93,Ginza,French,3.58,4.01,31,3.93,3.81,3.91,3.79,3.61
マルタ,Maruta,3.93,Nishi Chofu,Western (Others),3.66,3.98,27,3.93,3.91,4.00,3.96,3.77
たきや,Takiya,3.93,Azabu Juban,Tempura,3.93,-,26,3.93,3.95,3.95,3.81,3.83
夏零,Karin,3.93,Azabu Juban,Chinese,3.93,-,24,3.93,3.96,3.96,3.79,3.93
ラ メゾン フィニステール,La maison finistère,3.93,Ebisu,French,3.88,3.85,14,3.87,3.58,3.58,3.85,3.58
TXOKO,TXOKO,3.93,Edogawabashi,Italian,3.93,-,7,3.93,3.58,3.89,3.58,3.58
煮干鰮らーめん 圓,Niboshiiwashiramenen,3.92,Keio Hachioji,Ramen,3.84,3.90,782,3.93,3.59,3.59,3.60,3.12
Japanese Soba Noodles 蔦,Japanizusobanudorutsuta,3.92,Sugamo,Ramen,3.66,3.91,723,3.92,3.60,3.61,3.59,3.53
エーグルドゥース,Egurudosu,3.92,Mejiro,Cake,3.66,3.92,672,3.92,3.62,3.65,3.59,3.57
もち豚とんかつ たいよう,mochibutatonkatsutaiyou,3.92,Musashi Koyama,Tonkatsu (Pork cutlet),3.87,3.87,444,3.94,3.63,3.61,3.83,3.54
ケンズカフェ東京,KEN'S CAFE TOKYO,3.92,Shinjuku Gyoemma,Cake,3.58,3.90,422,3.93,3.59,3.58,3.58,3.10
中華ソバ 伊吹,Ibuki,3.92,Shimura Sakaue,Ramen,3.95,3.85,335,3.92,3.59,3.59,3.63,3.05
ラ・ボンバンス,La BOMBANCE,3.92,Hiro o,Creative cuisine,3.92,3.45,288,3.90,3.96,3.81,3.79,3.70
アヒルストア,AHIRU STORE,3.92,Yoyogi Koen,Bistro,3.92,3.03,212,3.91,3.67,3.94,3.80,3.85
鮨　太一,Sushitaichi,3.92,Ginza,Sushi,3.89,3.94,196,3.92,3.70,3.66,4.20,3.66
ラ スフォリーナ,La Sfoglina,3.92,Nogizaka,Italian,4.00,3.91,170,3.96,3.61,3.61,3.65,3.66
オオハラ エ シーアイイー,OHARA ET CIE,3.92,Roppongi,French,3.70,3.98,158,3.90,3.66,3.72,4.15,3.59
シェフス,CHEF'S,3.92,Shinjuku Gyoemma,Shanghai Cuisine,3.92,3.01,154,3.92,3.63,3.61,3.62,3.62
ヴォーロ・コズィ,Volo Cosi,3.92,Sengoku,Italian,3.69,3.99,153,3.92,3.78,3.69,3.73,3.64
BAR 保志,Bahoshi,3.92,Ginza,Bar,3.92,-,151,3.56,3.75,3.61,3.56,3.95
南蛮 銀圓亭,Namban Ginentei,3.92,Ginza,Western Cuisine,3.96,3.91,91,3.97,3.68,3.63,3.59,3.58
アーティショー,Artichaut,3.92,Ebisu,French,4.04,3.89,89,3.94,3.61,3.63,3.98,3.58
鮨 由う,Yu,3.92,Roppongi,Sushi,3.92,3.09,86,3.96,3.66,3.66,4.10,3.76
懐石料理 はし本,Kaisekiryourihashimoto,3.92,Shin Nihombashi,Kaiseki (Traditional Japanese),3.91,3.75,66,3.92,3.99,3.64,4.02,3.80
山介,Yamasuke,3.92,Honjo Azumabashi,Izakaya (Tavern),3.89,3.62,53,3.91,3.60,3.60,3.61,3.89
大幸園 小宮本店,Daikouen,3.92,Komiya,Yakiniku (BBQ Beef),3.92,-,51,3.92,3.01,3.58,3.74,3.54
新橋 いっぱし,Shimbashiippashi,3.92,Uchisaiwaicho,Izakaya (Tavern),3.92,3.00,30,3.92,3.95,3.60,4.06,3.86
レストラン・フォレスト,RESTAURANT FOREST,3.92,Jiyugaoka,French,3.54,3.99,22,3.94,3.61,3.65,3.72,3.58
とんかつ燕楽,Tonkatsu Enraku,3.91,Ikegami,Tonkatsu (Pork cutlet),3.77,3.95,437,3.94,3.59,3.58,3.64,3.33
中華そば しば田,chuukasobashibata,3.91,Sengawa,Ramen,3.77,3.87,416,3.93,3.59,3.58,3.60,3.16
VIA Brianza,VIA Brianza,3.91,Azabu Juban,Italian,3.88,3.81,289,3.89,3.91,3.59,4.12,3.61
メゾン ポール・ボキューズ,Maison Paul Bocuse,3.91,Daikan yama,French,3.88,3.79,235,3.92,3.79,3.97,3.79,3.76
焼肉 静龍苑,yakinikuseiryuuen,3.91,Morishita,Yakiniku (BBQ Beef),3.91,3.06,225,3.92,3.53,3.54,3.59,3.54
入谷鬼子母神門前のだや,iriyakishimojimmonzennodaya,3.91,Iriya,Unagi (Freshwater eel),3.95,3.78,209,3.91,3.60,3.59,3.58,3.58
Felicelina,Felicelina,3.91,Naka Meguro,Italian,3.88,3.87,172,3.92,3.61,3.72,3.85,3.65
赤坂璃宮 銀座店,Akasakarikyuu,3.91,Ginza,Cantonese Cuisine,3.84,3.75,169,3.89,3.72,3.72,3.61,3.62
祥瑞,SHONZUI,3.91,Roppongi,Steak,3.91,3.03,162,3.89,3.58,3.58,3.58,3.59
鮨 波やし,Hayashi,3.91,Koenji,Sushi,3.91,-,112,3.88,3.91,3.72,4.22,3.84
AU GAMIN DE TOKIO,AU GAMIN DE TOKIO,3.91,Ebisu,Bistro,3.91,-,88,3.93,3.78,3.60,3.61,3.60
リストランテソットラルコ,Ristorante Sotto l'Arco,3.91,Shimbashi,Italian,3.92,3.83,87,3.92,3.64,3.72,3.76,3.63
サイフォン,SAIPHON,3.91,Koiwa,Thailand cooking,3.91,-,77,3.91,3.53,3.53,3.69,3.52
山さき,Yamasaki,3.91,Iidabashi,Kappo (Traditional Japanese),3.91,3.04,69,3.89,3.75,3.59,3.61,3.58
デセール ル コントワール,Dessert Le Comptoir,3.91,Todoroki,Sweets (other),3.88,3.91,64,3.91,3.91,3.61,3.59,3.60
メイ,MAY,3.91,Gotanda,French,3.94,3.84,62,3.91,3.59,3.63,3.62,3.58
鮨 つぼみ,Sushitsubomi,3.91,Naka Meguro,Sushi,3.91,-,47,3.91,3.89,3.80,3.89,3.83
エスタシオン,Estacion,3.91,Iidabashi,Spain,3.91,-,39,3.82,3.58,3.61,3.61,3.58
龍眉虎ノ尾 西麻布,ryuubitoranoonishiazabu,3.91,Hiro o,Chinese,3.98,3.52,24,3.91,3.58,3.58,3.63,3.58
鳥おか,Torioka,3.91,Roppongi,Yakitori (Grilled chicken),3.91,-,23,3.91,3.58,3.64,3.58,3.58
小熊飯店,Shaoshonhanten,3.91,Kita Sando,Shanghai Cuisine,3.91,-,14,3.91,3.58,3.85,3.07,4.16
鮨処寿司大,sushidokorosushidai,3.90,Tsukijishijo,Sushi,3.50,3.90,507,3.91,3.71,3.61,3.86,3.56
かねます,Kanemasu,3.90,Kachidoki,Stand Bar,3.87,3.67,316,3.91,3.58,3.58,3.60,3.58
ピエール・ガニェール,PIERRE GAGNAIRE ,3.90,Roppongi Itchome,Modern French,3.82,3.86,244,3.90,3.84,4.06,3.61,3.70
レストラン・パッション,PACHON,3.90,Daikan yama,French,3.78,4.00,153,3.90,3.95,4.43,3.84,4.00
ペペロッソ,PepeRosso,3.90,Sangen Jaya,Italian,4.01,3.67,142,3.97,3.66,3.60,3.74,3.67
巽蕎麦 志ま平,tatsumisobashimahei,3.90,Ushigome Kaguraz,Soba,3.81,3.78,111,3.90,3.62,3.87,3.60,3.61
コム・ア・ラ・メゾン,COMME A LA MAISON,3.90,Akasaka,French,3.90,-,102,3.90,3.88,3.61,3.69,3.72
世良田,Serata,3.90,Azabu Juban,Yakitori (Grilled chicken),3.90,-,70,3.90,3.58,3.59,3.33,3.70
パティスリー・パリセヴェイユ,patisserie Paris S'eveille,3.89,Jiyugaoka,Cake,3.78,3.91,713,3.93,3.58,3.59,3.58,3.59
アルジェント ASAMI,arujentoasami,3.89,Ginza Itchome,Italian,3.84,3.86,226,3.88,3.80,4.02,3.60,3.67
御田町 桃の木,Momonoki,3.89,Mita,Chinese,3.89,3.72,184,3.89,3.62,3.59,3.61,3.59
銀座 テンダー,Ginzatenda,3.89,Ginza,Bar,3.89,-,177,3.56,3.61,3.63,3.54,3.88
鳥恵 上野広小路店,Torie,3.89,Ueno Hirokoji,Yakitori (Grilled chicken),3.89,3.00,175,3.91,3.75,3.64,3.65,3.71
Jean-Georges Tokyo,Jean-George Tokyo,3.89,Roppongi,French,3.74,3.82,158,3.93,3.82,4.01,3.59,3.66
西麻布けんしろう,nishiazabukenshirou,3.89,Hiro o,Yakiniku (BBQ Beef),3.89,-,150,3.89,3.88,3.87,3.66,3.75
宇豆基野 本店,Uzukino,3.89,Kita Senju,"Tofu, Yuba",-,3.89,132,3.82,3.73,3.63,4.25,3.57
ヴァリノール,Valinor,3.89,Ogikubo,French,3.75,3.97,96,3.84,3.62,3.61,3.73,3.63
代々木 今半,Yoyogi Imahan,3.89,Minami Shinjuku,Shabu Shabu (Japanese Steamboat),3.89,3.06,75,3.89,3.58,3.41,3.58,3.40
モンプチコションローズ,Mon Petit Cochon Rose,3.89,Sengoku,French,3.77,3.92,74,3.78,3.66,3.61,4.01,3.63
リストランテ ペガソ,RISTORANTE PEGASO,3.89,Hiro o,Italian,3.78,3.81,73,3.89,3.89,3.67,3.61,3.66
イルトラム,il tram ,3.89,Kiyosumi Shiraka,Italian,3.90,3.59,66,3.89,3.66,3.59,4.15,3.59
FRANZ,FRANZ,3.89,Shirokanedai,French,3.89,-,18,3.89,3.73,3.84,3.78,3.58
饗 くろ喜,Motenashikuroki,3.88,Asakusabashi,Ramen,3.78,3.89,693,3.89,3.59,3.60,3.58,3.59
ラトリエ ドゥ ジョエル・ロブション,L'ATELIER de Joel Robuchon,3.88,Roppongi,French,3.97,3.85,461,3.91,3.67,3.81,3.72,3.70
キュイジーヌ[s] ミッシェル・トロワグロ,Cuisine[s] Michel Troisgros,3.88,Tochomae,French,3.72,3.93,340,3.91,4.12,4.00,3.60,3.64
一幸庵,Ikkouan,3.88,Myogadani,Japanese sweets,3.28,3.88,248,3.88,3.58,3.59,3.58,3.10
エル ブランシュ,Aile Blanche,3.88,Azabu Juban,French,3.89,3.12,109,3.91,3.69,3.75,3.57,3.59
新ばし 久,Shimbashikyuu,3.88,Shimbashi,Kappo (Traditional Japanese),3.87,3.35,92,3.88,3.60,3.60,3.85,3.66
Bar Tiare,Bathiare,3.88,Akasaka Mitsuke,Bar,3.88,-,86,3.58,3.65,3.66,3.60,3.91
かんだ,Kanda,3.88,Azabu Juban,Kaiseki (Traditional Japanese),3.88,3.06,68,3.88,3.99,4.17,3.54,3.64
匠　達広,Takumitatsuhiro,3.88,Shinjuku Gyoemma,Sushi,3.88,-,62,3.89,3.70,3.72,3.73,3.66
鮨　臥龍,Sushigaryuu,3.88,Yotsuya Sanchome,Sushi,3.88,-,59,3.82,3.63,3.64,3.90,3.81
ドン・ナチュール,DONS de la NATURE,3.88,Ginza Itchome,Steak,3.88,3.06,55,3.89,3.84,3.76,3.55,3.62
ル　ボークープ,Le Beaucoup,3.88,Yoyogi Uehara,French,3.87,3.88,53,3.67,3.62,3.60,3.65,3.58
鮨ふじ田,Sushifujita,3.88,Higashi Ginza,Sushi,3.90,3.90,46,3.88,3.59,3.66,3.71,3.60
つけ麺 道,tsukememmichi,3.87,Kameari,Tsukemen,3.58,3.85,659,3.87,3.68,3.60,3.61,3.07
麺処ほん田,Mendokorohonda,3.87,Higashi Jujo,Ramen,3.81,3.84,573,3.85,3.59,3.58,3.61,3.55
シニフィアン シニフィエ 世田谷本店,Signifiant Signifie,3.87,Sangen Jaya,Bread,3.53,3.87,518,3.88,3.61,3.61,3.58,3.60
MASA’S KITCHEN 恵比寿,MASA'S KITCHEN47,3.87,Ebisu,Chinese,3.89,3.80,476,3.84,3.65,3.67,3.61,3.59
スパイスカフェ,SPICE Cafe,3.87,Oshiage,India cuisine,3.91,3.77,449,3.85,3.63,3.84,3.63,3.59
中華そば屋 伊藤,Chuukasobayaitou,3.87,Oji Kamiya,Ramen,3.56,3.86,428,3.88,3.58,3.58,3.63,3.02
ラ・ブーシェリー・デュ・ブッパ,La Boucherie du Buppa,3.87,Yutenji,Other meat dishes,3.87,-,251,3.85,3.58,3.59,3.59,3.61
石臼挽き手打ち蕎麦 高はし,ishiusubikiteuchisabatakahashi,3.87,Ogikubo,Soba,3.92,3.74,189,3.89,3.59,3.59,3.60,3.59
とんかつ檍 銀座店,tonkatsuaoki,3.87,Shimbashi,Tonkatsu (Pork cutlet),3.79,3.78,189,3.88,3.61,3.59,3.84,3.53
レストラン 間,Resutoranaida,3.87,Ebisu,French,3.85,3.67,187,3.86,3.68,3.61,4.00,3.61
サンルーカルバー,Sanlucar BAR,3.87,Kagurazaka,Bar,3.90,3.55,142,3.68,3.80,3.78,3.69,3.92
バーン・タム,Baan Tum,3.87,Shin Okubo,Thailand cooking,3.89,3.58,140,3.87,3.53,3.58,3.65,3.51
石の華,Ishinohana,3.87,Shibuya,Bar,3.87,-,132,3.79,3.75,3.71,3.78,3.88
小笹寿し,Kozasazushi,3.87,Shimbashi,Sushi,3.82,3.93,109,3.87,3.64,3.79,3.63,3.58
RISTORANTE YAGI,RISTORANTE YAGI,3.87,Shinsen,Italian,3.59,3.96,105,3.92,3.61,3.95,3.71,3.82
東洋軒,Toyoken,3.87,Akasaka Mitsuke,Western Cuisine,3.76,3.87,90,3.93,3.80,3.73,3.69,3.61
鶴八,Tsuruhachi,3.87,Jimbocho,Sushi,3.87,3.61,79,3.88,3.61,3.71,3.60,3.55
銀座 kappou ukai,Kappou Ukai,3.87,Shimbashi,Kaiseki (Traditional Japanese),3.82,3.76,65,3.87,3.87,3.86,3.76,3.72
a table,A table,3.87,Suehirocho,Bistro,3.87,-,62,3.90,3.70,3.62,3.63,3.61
スダチ,Sudachi,3.87,Hiro o,Kappo (Traditional Japanese),3.88,3.73,62,3.84,3.96,3.78,3.59,3.63
小熊,Koguma,3.87,Ginza,Kaiseki (Traditional Japanese),3.82,3.73,40,3.87,3.78,3.79,3.63,3.71
寛幸,Hiroyuki,3.87,Higashi Ginza,Japanese food (other),3.75,4.02,28,3.87,3.79,3.92,3.75,3.74
ミネバル,MiNE BARU,3.86,Shinsen,Spain,3.96,3.58,89,3.94,3.61,3.59,3.63,3.70
エノテカラウラ,Enotekaraura,3.86,Kagurazaka,Italian,3.85,3.82,61,3.84,3.70,3.69,3.64,3.75
ラ ソスタ,I Luci,3.86,Shirokanedai,Italian,3.68,3.91,51,3.85,3.64,3.70,3.78,3.68
アンビグラム,AMBIGRAM,3.86,Hiro o,Italian,3.86,3.75,43,3.88,3.61,3.63,3.59,3.63
ポワン ドゥ デパー,Powandwudepa,3.86,Ogikubo,French,3.92,3.28,11,3.86,3.82,3.62,3.58,3.58
麺屋吉左右,Menyakissou,3.85,Kiba,Ramen,3.27,3.85,745,3.82,3.63,3.61,3.58,3.18
石臼挽き手打 蕎楽亭,ishiusuhikiteuchikyourakutei,3.85,Ushigome Kaguraz,Soba,3.96,3.76,626,3.86,3.59,3.59,3.60,3.69
ぽん多本家,Pontahonke,3.85,Ueno Hirokoji,Tonkatsu (Pork cutlet),3.78,3.84,464,3.87,3.59,3.59,3.51,3.53
玄蕎麦 野中,Gensoba Nonaka,3.85,Nakamurabashi,Soba,3.82,3.86,243,3.86,3.59,3.61,3.61,3.58
明神下 神田川 本店,myoujinshitakakandagawa,3.85,Ochanomizu,Unagi (Freshwater eel),3.96,3.68,193,3.77,3.90,4.27,3.60,3.51
ル・プティ・ブドン,Le Petit Bedon,3.85,Daikan yama,French,3.69,3.89,147,3.84,3.82,3.95,3.63,3.67
パティスリー ユウ ササゲ,Patisserie Yu Sasage,3.85,Chitose Karasuya,Cake,3.42,3.84,130,3.85,3.59,3.61,3.61,3.08
アンティカブラチェリアベッリターリア,Antica Braceria Bellitalia,3.85,Meguro,Italian,3.78,3.69,89,3.87,3.58,3.59,3.75,3.58
ヴァッカロッサ,VACCA ROSSA,3.85,Akasaka,Italian,3.97,3.63,85,3.83,3.61,3.63,3.61,3.58
一二三本店,Hifumihonten,3.85,Shoin Jinja Mae,Unagi (Freshwater eel),3.54,3.85,79,3.86,3.61,3.59,3.98,3.38
鮨 りんだ,RINDA,3.85,Fudo Mae,Sushi,3.85,-,72,3.87,3.90,3.73,3.79,3.70
澤いち,Sawaichi,3.85,Roppongi,Kaiseki (Traditional Japanese),3.85,3.12,62,3.86,3.82,3.79,3.75,3.70
蔵六雄山,Zourokuyuuzan,3.85,Roppongi,Sushi,3.85,-,59,3.84,3.79,3.77,3.72,3.72
mal D'amour,Marudamuru,3.85,Kokusai Tenjijo,French,3.91,3.63,37,3.86,3.94,4.29,3.89,3.68
マツシマ,Matsushima,3.85,Yoyogi Uehara,Chinese,3.85,-,31,3.71,3.59,3.58,3.77,3.60
フレンチ サクラ,Furenchisakura,3.85,Fussa,Restaurants (other),3.84,3.59,27,3.85,3.85,3.58,3.64,3.58
ラ･メゾン･デュ･ショコラ 丸の内店,Ramezondhushokora,3.84,Yurakucho,Chocolate,3.61,3.80,463,3.85,3.70,3.67,3.57,3.58
町田汁場 しおらーめん進化,machidashirubashiora-menshinka,3.84,Machida,Ramen,3.59,3.88,405,3.86,3.58,3.59,3.58,3.09
吉田カレー ,Yoshidakare,3.84,Ogikubo,Curry rice,3.66,3.78,303,3.84,3.58,3.58,3.63,3.56
蒼天 南口店,Souten,3.84,Mukohara,Yakitori (Grilled chicken),3.84,-,234,3.84,3.58,3.59,3.59,3.64
ヴァン・ド・レーヴ,Vin de Reve,3.84,Takaracho,French,3.85,3.51,111,3.84,3.64,3.64,3.75,4.05
鮨　銀座　おのでら,Sushiginzaonodera,3.84,Higashi Ginza,Sushi,3.80,3.76,96,3.84,3.87,3.79,3.60,3.58
レガーロ,Regalo,3.84,Sangubashi,Italian,3.77,3.97,76,3.83,3.60,3.58,3.72,3.67
ビートイート,Beet eat,3.84,Kitami,Indian curry,3.68,3.75,76,3.85,3.59,3.59,3.59,3.58
レストランユニック,restaurant unique,3.84,Meguro,French,3.91,3.58,73,3.88,3.67,3.58,4.00,3.59
ロムアロイ,Romuaroi,3.84,Higashi Nakano,Thailand cooking,3.84,3.30,65,3.84,3.31,3.01,3.58,3.06
リナシメント,RINASCIMENTO,3.84,Meguro,Italian,3.83,3.73,59,3.84,3.84,3.65,3.72,3.73
花邑,Hanamura,3.84,Yoga,Kappo (Traditional Japanese),3.84,3.01,55,3.81,3.87,3.59,4.15,3.61
焼肉 大貫,Yakinikuoonuki,3.84,Shinjuku Gyoemma,Yakiniku (BBQ Beef),3.84,3.06,46,3.92,3.61,3.58,3.51,3.58
レゼールデカー,Les Ailes des K,3.84,Myogadani,French,3.73,3.51,24,3.84,3.63,3.60,3.63,3.58
マルイチベーグル,MARUICHI BAGEL,3.83,Shirokane Takana,Bagel,3.59,3.83,687,3.84,3.62,3.58,3.59,3.10
とんかつ やまいち,Tonkatsuyamaichi,3.83,Awajicho,Tonkatsu (Pork cutlet),3.86,3.81,595,3.84,3.58,3.58,3.59,3.58
のもと家,Nomotoya,3.83,Daimon,Tonkatsu (Pork cutlet),3.75,3.81,373,3.85,3.59,3.58,3.61,3.58
黒猫夜 六本木店,Kuronekoyoru,3.83,Roppongi,Chinese,3.84,3.52,233,3.84,3.66,3.77,3.72,3.85
龍口酒家 本店,Ronkouchuucha,3.83,Hatagaya,Chinese,3.87,3.61,231,3.86,3.58,3.56,3.66,3.58
オーベルジュ・ド・リル トーキョー,Oberujudorirutokyo,3.83,Roppongi,French,3.84,3.66,214,3.81,3.80,4.10,3.59,3.61
バンゲラズ キッチン,Bangera's Kitchen,3.83,Yurakucho,India cuisine,3.83,3.59,178,3.82,3.59,3.59,3.58,3.58
ラ・ビュット・ボワゼ,Rabittobowaze,3.83,Kuhombutsu,French,3.75,3.76,139,3.83,3.80,3.87,3.59,3.60
季旬 鈴なり,Kishunsuzunari,3.83,Yotsuya Sanchome,Kappo (Traditional Japanese),3.83,-,92,3.78,3.61,3.60,3.90,3.59
トラットリアチッチョ,Trattoria Ciccio,3.83,Kichijoji,Italian,3.83,-,90,3.83,3.80,3.61,3.86,3.75
大塚高勢,Ootsukatakase,3.83,Otsuka Ekimae,Sushi,3.82,3.69,88,3.83,3.84,3.60,3.62,3.61
TERROIR Kawabata,terowa-rukawabata,3.83,Ochanomizu,Bistro,3.77,3.79,79,3.83,3.64,3.58,3.66,3.58
ゴーシェ,Gaucher,3.83,Roppongi Itchome,French,3.72,3.89,69,3.80,3.77,3.78,3.85,3.59
すし処 みや古分店,Sushidokoromiyakowakemise,3.83,Akabane,Sushi,3.80,3.68,59,3.82,3.61,3.59,3.69,3.61
銀座 レストラン オザミ,GINZA Restaurant AUX AMIS,3.83,Ginza Itchome,French,3.83,3.93,42,3.78,3.97,3.62,3.59,3.67
ククセモワ,Coucouc'est moi,3.83,Hongo Sanchome,French,3.80,3.77,33,3.82,3.66,3.66,3.98,3.61
天冨良 いわ井,Tempuraiwai,3.83,Ginza,Tempura,3.81,3.51,21,3.82,3.66,3.75,3.58,3.58
GINZA JOTAKI,GINZA JOTAKI,3.83,Ginza,Chinese,3.79,3.54,11,3.83,3.79,3.78,3.71,3.59
うさぎや,Usagiya,3.82,Ueno Hirokoji,Japanese sweets,3.66,3.82,1144,3.85,3.58,3.58,3.59,3.14
とんかつ檍 蒲田店,Aoki,3.82,Kamata,Tonkatsu (Pork cutlet),3.82,3.79,561,3.83,3.58,3.58,3.63,3.55
シニフィアン シニフィエ 日本橋タカシマヤ店,Signifiant Signifie,3.82,Nihombashi,Bread,3.61,3.81,545,3.85,3.59,3.55,3.55,3.08
麺処 晴,Mendokoroharu,3.82,Iriya,Ramen,3.79,3.75,453,3.82,3.59,3.59,3.59,3.48
徳多和良,Tokudawara,3.82,Kita Senju,Stand Bar,3.83,3.54,338,3.79,3.59,3.58,4.00,3.59
竹末東京Premium,takematsutoukyoupuremiamu,3.82,Oshiage,Ramen,3.73,3.75,293,3.83,3.77,3.68,3.59,3.55
中国飯店 六本木店,Chuugokuhanten,3.82,Roppongi,Chinese,3.84,3.68,276,3.83,3.63,3.66,3.59,3.59
らぁ麺 すぎ本,Ramensugimoto,3.82,Saginomiya,Ramen,3.68,3.77,275,3.83,3.58,3.59,3.61,3.53
パティスリー プレジール,Patisserie Plaisir,3.82,Nishi Taishido,Cake,3.66,3.81,246,3.83,3.60,3.59,3.63,3.58
小笠原伯爵邸,Ogasawarahakushakutei,3.82,Wakamatsu Kawada,Spain,3.83,3.73,235,3.81,3.82,4.34,3.65,3.65
パーラー江古田,Paraekoda,3.82,Shin Sakuradai,Bread,3.38,3.82,212,3.85,3.59,3.60,3.59,3.58
クーカーニョ,COUCAGNO,3.82,Shibuya,French,3.77,3.82,181,3.82,4.07,4.23,3.65,3.71
豚小家,Butagoya,3.82,Koiwa,Grilled pork,3.82,-,171,3.83,3.58,3.58,3.84,3.59
SEN YO,Senyou,3.82,Higashi Koenji,Cantonese Cuisine,3.73,3.84,163,3.80,3.58,3.58,3.65,3.59
ビストラン エレネスク,Bistaurant RNSQ,3.82,Azabu Juban,French,3.80,3.71,145,3.73,3.64,3.62,3.65,3.85
よねさん,Yonesan,3.82,Kameido,Izakaya (Tavern),3.81,3.67,102,3.83,3.61,3.58,3.98,3.92
一東菴,Ittouan,3.82,Higashi Jujo,Soba,3.59,3.77,96,3.82,3.59,3.58,3.59,3.58
ピッツェリア　ジターリア　ダ　フィリッポ,PIZZERIA GTALIA DA FIlLIPPO,3.82,Shakujii Koen,Pizza,3.82,3.73,91,3.84,3.68,3.62,3.58,3.59
トラットリア 29,torattoriaventhino-ve,3.82,Nishi Ogikubo,Italian,3.82,3.41,74,3.88,3.59,3.58,3.61,3.58
鮓職人 秦野よしき,sushishokuninhatanoyoshiki,3.82,Azabu Juban,Sushi,3.82,3.06,63,3.82,3.73,3.80,3.77,3.59
一即夛,Isshokutaissokutaichisokuta,3.82,Nogizaka,Kappo (Traditional Japanese),3.82,-,62,3.92,3.63,3.58,3.63,3.58
クスクス　ルージール,couscous Rougir,3.82,Shimo Kitazawa,Bistro,3.82,3.06,61,3.72,3.63,3.63,3.71,3.58
鮨 心白,SHINPAKU,3.82,Hiro o,Sushi,3.82,-,60,3.82,3.78,3.66,3.87,3.93
lumielune,rumierune,3.82,Higashi Kitazawa,Bistro,3.82,-,58,3.61,3.58,3.59,3.65,3.70
焼鳥 山もと,Yakitoriyamamoto,3.82,Mitaka,Yakitori (Grilled chicken),3.82,-,57,3.87,3.59,3.87,3.65,3.97
ナイン ストーリーズ,9 STORIES,3.82,Yoyogi Hachiman,Bistro,3.58,3.96,55,3.85,3.65,3.61,3.61,3.58
ル モンド グルマン,Le Monde Gourmand,3.82,Jiyugaoka,French,3.58,3.87,53,3.86,3.61,3.59,3.99,3.58
火鍋 三田,hinabemita,3.82,Shirokane Takana,Chinese hot pot / fire pot,3.82,-,50,3.63,3.58,3.58,3.65,3.58
くう,Kuu,3.82,Otsuka Ekimae,Kappo (Traditional Japanese),3.82,-,49,3.82,3.60,3.58,3.61,3.58
日本橋逢坂,Nihombashiousaka,3.82,Ningyocho,Kappo (Traditional Japanese),3.81,3.58,32,3.75,3.61,3.59,3.88,3.88
Txiki Plaka,Txiki Plaka,3.82,Shimbashi,Spain,3.82,-,26,3.83,3.58,3.60,3.61,3.60
栞庵 やましろ,Shiorian Yamashiro,3.82,Ginza,Kaiseki (Traditional Japanese),3.81,3.50,17,3.83,3.62,3.74,3.66,3.59
トラットリア トマティカ,Torattoriatomathika,3.82,Ebisu,Italian,3.82,-,15,3.82,3.80,3.72,3.91,3.75
中華そば多賀野,chuukasobatakano,3.81,Ebara Nakanobu,Ramen,3.61,3.81,631,3.80,3.59,3.59,3.59,3.46
パティスリー カーヴァンソン,patisserie K.ViNCENT,3.81,Iidabashi,Cake,3.58,3.82,361,3.83,3.58,3.58,3.57,3.00
きらく亭,Kirakutei,3.81,Shirokane Takana,Yakiniku (BBQ Beef),3.79,3.62,355,3.82,3.58,3.58,3.59,3.53
月島 在市,tsukishimazaichi,3.81,Tsukishima,Horumon (BBQ Offel),3.81,3.05,301,3.76,3.78,3.59,3.66,3.59
銀座バードランド,ginzaba-dorando,3.81,Ginza,Yakitori (Grilled chicken),3.81,-,200,3.81,3.63,3.60,3.59,3.59
蕎麦 坐忘,sobazabou,3.81,Nishi Hachioji,Soba,3.80,3.84,149,3.82,3.60,3.66,3.61,3.58
CINA New Modern Chinese,CINA New Modern Chinese,3.81,Ebisu,Chinese,3.84,3.71,131,3.82,3.89,3.65,3.62,3.64
シェ オリビエ,Chez Olivier,3.81,Ichigaya,French,3.80,3.75,106,3.82,3.59,3.59,3.59,3.59
小田島,Odajima,3.81,Roppongi,Kappo (Traditional Japanese),3.81,3.01,94,3.81,3.78,3.59,3.68,3.86
遊猿,Yuuen,3.81,Yotsuya Sanchome,Chinese,3.80,3.75,85,3.87,3.59,3.59,3.64,3.58
81,81,3.81,Hiro o,"Innovative cuisine, Fusion cuisine",3.81,-,71,3.80,3.84,3.85,3.75,3.79
ペルー料理 bepocah,Bepocah,3.81,Meiji Jingumae,Latin American cuisine (and others),3.81,-,66,3.81,3.64,3.73,3.66,3.66
三友居 高輪店,Sanyuukyo,3.81,Takanawadai,Kaiseki (Traditional Japanese),3.59,3.89,63,3.81,3.58,3.58,3.90,3.59
磯はん,Isohan,3.81,Nishi Ogikubo,Sushi,3.90,3.24,57,3.75,3.89,3.62,4.09,3.59
