JapneseName,EnglishName,TotalRating,NearstStation,FoodCategory,PhoneNumber,LunchRating,DinnerRating,ReviewCounts,Dishes,Service,Atmosphere,Cost performance,Drink
ぎおん 阪川,Sakagawa,4.38,Gion Shijo,Kappo (Traditional Japanese),+81-75-532-2801,4.37,-,146,4.41,4.26,4.13,4.26,4.05
アカ,Aca 1°,4.37,Karasuma Oike,Spain,+81-75-223-3002,4.40,4.02,102,4.37,4.26,3.92,4.01,3.90
瓢亭 本店,Hyotei,4.36,Keage,Kaiseki (Traditional Japanese),+81-75-771-4116,3.85,4.31,150,4.36,4.16,4.42,4.12,4.02
料理 川口,Kawaguchi,4.33,"Gion, Kiyomizu",Kappo (Traditional Japanese),,4.37,-,24,4.37,4.23,4.00,4.14,4.24
道人,Doujin,4.32,Sanjo Keihan,Kappo (Traditional Japanese),+81-50-5595-8094,4.32,-,21,4.32,4.11,4.47,4.47,4.16
安久,Ankyu,4.28,Gion Shijo,Kappo (Traditional Japanese),+81-75-531-5999,4.31,-,40,4.32,4.13,3.94,3.67,3.96
御幸町 田がわ,Tagawa,4.26,Kyoto Shiyakusho,Kaiseki (Traditional Japanese),+81-75-708-5936,4.26,4.17,31,4.26,4.30,4.24,4.15,4.09
木山,Kiyama,4.25,Marutamachi,Kaiseki (Traditional Japanese),+81-75-256-4460,4.25,4.18,69,4.26,4.24,4.16,4.10,3.94
高台寺 和久傳,Kodaiji Wakuden,4.23,Gion Shijo,Kaiseki (Traditional Japanese),+81-75-533-3100,4.24,3.77,76,4.22,4.27,4.43,3.80,4.18
なかむら,Nakamura,4.22,Kyoto Shiyakusho,Kaiseki (Traditional Japanese),+81-75-221-5511,4.17,3.93,55,4.22,4.23,4.22,3.90,3.94
祇園 にしかわ,Nishikawa,4.21,Gion Shijo,Kaiseki (Traditional Japanese),+81-75-525-1776,4.23,4.12,160,4.21,4.24,4.31,4.10,4.05
MAVO,MAVO,4.20,Gion Shijo,French,+81-75-708-6988,4.18,3.94,67,4.20,4.13,3.99,4.23,4.22
京懐石 吉泉,Kichisen,4.19,Demachiyanagi,Kaiseki (Traditional Japanese),+81-50-5872-9318,4.15,4.10,84,4.18,4.38,4.51,3.73,3.88
祇園 大渡,Owatari,4.19,Gion Shijo,Kaiseki (Traditional Japanese),+81-75-551-5252,4.19,3.07,68,4.19,4.58,4.37,4.18,4.10
リョウリヤ ステファン パンテル,RYORIYA Stephan Pantel,4.17,Marutamachi,French,+81-75-204-4311,4.01,4.17,95,4.17,3.94,4.26,4.07,3.75
岩さき,Iwasaki,4.16,Karasuma Oike,Kaiseki (Traditional Japanese),+81-75-212-7800,4.17,4.18,109,4.16,4.32,4.14,4.17,3.91
炭火割烹 いふき,Ifuki,4.16,Gion Shijo,Kaiseki (Traditional Japanese),+81-75-525-6665,4.16,-,72,4.16,4.08,4.28,3.82,3.96
山玄茶,Sangencha,4.15,Gion Shijo,Kaiseki (Traditional Japanese),+81-75-533-0218,4.20,3.95,192,4.14,4.19,4.10,4.09,3.99
祇園 末友,Suetomo,4.15,Kiyomizu Gojo,Kaiseki (Traditional Japanese),+81-75-496-8799,4.09,4.14,159,4.18,4.04,4.24,3.91,3.72
京趣味 菱岩,Kyoshumi Hisaiwa,4.15,Sanjo Keihan,Bento (Lunch box),+81-75-561-0413,3.97,3.97,88,4.14,3.80,3.60,3.59,3.54
竹ざき,Takezaki,4.15,Karasuma Oike,Kappo (Traditional Japanese),+81-75-744-1661,4.14,3.28,20,4.15,3.87,4.25,4.07,4.25
魚菜料理 縄屋,Nawaya,4.14,Kyotango,Kaiseki (Traditional Japanese),+81-772-65-2127,4.12,4.14,67,4.14,3.79,4.09,4.27,3.66
御料理 光安,Mitsuyasu,4.13,Nijo,Kaiseki (Traditional Japanese),+81-75-366-3138,4.13,3.95,34,4.13,3.96,4.09,3.83,3.97
モトイ,MOTOÏ,4.12,Kyoto Shiyakusho,French,+81-75-231-0709,4.07,4.04,84,4.12,4.10,4.32,3.76,4.02
八寸,Hassun,4.12,Gion Shijo,Kyoto Cuisine,+81-75-561-3984,3.99,4.16,39,4.14,4.10,3.98,3.98,3.68
なる屋,Naruya,4.12,Karasuma,Kaiseki (Traditional Japanese),+81-75-252-1199,4.12,3.59,30,4.12,4.03,4.09,4.02,3.93
祇園 にし,Nishi,4.11,Gion Shijo,Kaiseki (Traditional Japanese),+81-75-532-4124,3.94,4.23,42,4.11,4.41,3.99,4.36,4.15
二条城ふる田,Furuta,4.11,Nijojo Mae,Kaiseki (Traditional Japanese),+81-75-254-8377,4.11,3.06,29,4.11,4.03,4.16,3.99,3.82
天ぷら 松,Matsu,4.10,Matsuo Taisha,Kaiseki (Traditional Japanese),+81-75-881-9190,3.94,4.20,127,4.10,3.91,3.65,3.85,3.61
室町 和久傳,Muromachi Wakuden,4.10,Karasuma Oike,Kaiseki (Traditional Japanese),+81-75-223-3200,4.17,3.90,99,4.10,4.08,4.26,3.65,3.66
京 上賀茂 御料理秋山,Akiyama,4.10,Kitayama,Kaiseki (Traditional Japanese),+81-75-711-5136,4.10,3.54,64,4.10,4.11,4.42,4.28,4.05
御料理 樋渡,Hiwatashi,4.09,Marutamachi,Kaiseki (Traditional Japanese),+81-75-229-6769,4.02,4.14,40,4.07,4.22,4.38,4.14,3.78
ぎをん 遠藤,Endo,4.09,Gion Shijo,Kappo (Traditional Japanese),+81-75-551-7271,4.09,-,31,4.12,4.12,3.63,3.94,3.58
京天神 野口,Kyotenjin Noguchi,4.08,Kitano Hakubaich,Kaiseki (Traditional Japanese),+81-75-276-1630,4.08,3.10,51,4.08,4.40,4.27,4.08,4.21
日本料理 とくを,Tokuwo,4.06,Kawaramachi,Kaiseki (Traditional Japanese),+81-75-351-3906,4.06,3.97,138,4.06,4.18,4.00,4.23,4.08
食堂 おがわ,Ogawa,4.06,Kawaramachi,Kappo (Traditional Japanese),+81-75-351-6833,4.10,3.05,82,4.09,4.00,3.64,4.34,3.72
オルト,ORTO,4.06,Karasuma Oike,"Innovative cuisine, Fusion cuisine",+81-50-5592-2088,4.02,3.86,75,4.06,3.92,3.91,4.20,3.68
祇園 さゝ木,Sasaki,4.05,Gion Shijo,Kappo (Traditional Japanese),+81-75-551-5000,4.03,3.78,194,4.05,3.95,4.14,3.63,3.61
和ごころ 泉,Wagokoro Izumi,4.05,Shijo,Kaiseki (Traditional Japanese),+81-75-351-3917,3.83,4.09,48,4.05,3.84,4.03,3.83,3.61
くいしんぼー山中,Kuishinobo Yamanaka,4.04,Katsura,Steak,+81-75-392-3745,3.98,3.99,200,4.05,3.62,3.58,3.63,3.62
味 ふくしま,Aji Fukushima,4.03,Gion Shijo,Kyoto Cuisine,+81-75-561-4848,3.95,4.07,109,4.02,4.17,4.31,4.35,3.66
京 静華,Kyo Seika,4.03,Higashiyama,Chinese,+81-75-752-8521,4.03,3.09,93,4.00,3.93,3.88,3.93,3.65
キメラ,CHIMERA,4.02,Gion Shijo,Italian,+81-75-525-4466,4.00,3.79,170,4.02,4.00,4.13,3.85,3.91
むろまち 加地,Muromachi Kaji,4.02,Gojo,Izakaya (Tavern),+81-75-353-1113,4.02,-,97,4.03,3.84,3.64,3.97,3.63
山地陽介,Yosuke YAMAJI,4.02,Gion Shijo,French,+81-50-5595-8080,3.68,3.77,51,4.03,4.05,4.15,3.72,4.01
祇園 又吉,Matayoshi,4.02,Gion Shijo,Kappo (Traditional Japanese),+81-75-551-0117,3.96,4.18,52,4.00,4.02,4.09,3.94,4.05
高松,Takamatsu,4.02,Shijo,Kaiseki (Traditional Japanese),+81-75-744-0299,4.02,-,29,4.03,4.07,4.02,4.09,3.88
祇園 丸山,Gion Maruyama,4.01,Gion Shijo,Kyoto Cuisine,+81-75-525-0009,3.97,3.66,55,3.91,4.44,4.46,3.68,3.70
嘯月,Shogetsu,4.00,Kitaoji,Japanese sweets,+81-75-491-2464,3.10,4.00,217,3.99,3.77,3.65,3.63,3.06
俵屋旅館,Tawaraya,4.00,Kyoto Shiyakusho,Ryokan,+81-75-211-5566,3.82,3.96,71,3.96,4.13,4.30,4.00,3.74
ラ・ビオグラフィ,Rabiogurafi,4.00,Karasuma Oike,French,+81-75-231-1669,3.65,3.98,46,4.00,3.93,3.99,3.65,3.77
なな治,Nanaharu,3.99,Sanjo,Izakaya (Tavern),+81-75-211-0784,3.99,-,66,3.99,3.65,3.61,3.70,3.70
天ぷら 京星,Kyoboshi,3.99,Gion Shijo,Tempura,+81-75-551-2303,3.99,3.08,53,3.97,4.04,3.83,4.02,3.58
茶寮 宝泉,Saryo Hosen,3.98,Matsugasaki,Sweets,+81-75-712-1270,3.08,3.98,590,3.98,3.89,4.08,3.61,3.63
三嶋亭 本店,Mishimatei Honten,3.98,Kyoto Shiyakusho,Sukiyaki,+81-75-221-0003,3.97,3.78,350,3.98,3.94,4.04,3.59,3.59
ごだん 宮ざわ,Godan Miyazawa,3.98,Gojo,Kaiseki (Traditional Japanese),+81-75-708-6364,3.76,4.02,57,3.98,3.73,4.00,3.64,3.75
弧玖,Kokyuu,3.97,Demachiyanagi,Kaiseki (Traditional Japanese),+81-75-746-4375,3.86,4.04,33,3.96,3.92,3.75,3.85,3.63
おが和,Ogawa,3.96,Gion Shijo,Kappo (Traditional Japanese),+81-75-525-3327,3.87,3.95,26,3.94,3.58,3.58,3.63,3.83
俺のラーメン あっぱれ屋,Orenoramenappareya,3.95,Yamashiro Aodani,Ramen,,3.60,3.94,547,3.94,3.70,3.65,3.63,3.56
祇園にしむら,Gionnishimura,3.95,Gion Shijo,Kyoto Cuisine,+81-75-525-2727,3.98,3.61,35,3.98,3.66,3.84,3.61,3.61
リストリア　ラディーチェ,risutoriaradhi-che,3.95,Marutamachi,Italian,+81-75-256-5550,3.94,3.69,34,3.86,3.65,3.84,4.02,3.63
佳肴岡もと,Kakouokamoto,3.95,Kiyomizu Gojo,Kyoto Cuisine,+81-75-551-1055,3.95,-,27,3.94,3.93,3.87,3.94,3.93
割烹 やました,Yamashita,3.94,Kyoto Shiyakusho,Seafood,+81-75-256-4506,4.04,3.86,127,3.91,3.80,3.73,3.68,3.72
安参,Yassan,3.94,Gion Shijo,Beef dishes,+81-75-541-9666,3.94,-,119,3.89,3.68,3.61,3.59,3.59
京都 吉兆 嵐山本店,Kitcho Arashiyama,3.94,Arashiyama,Kaiseki (Traditional Japanese),+81-75-881-1101,3.89,3.66,102,3.93,4.00,4.02,3.66,3.78
菊乃井 本店,Kikunoi Honten,3.93,Higashiyama,Kaiseki (Traditional Japanese),+81-75-561-0015,3.94,3.73,202,3.93,4.07,4.09,3.65,3.65
塩芳軒,Shioyoshiken,3.93,Imadegawa,Japanese sweets,+81-75-441-0803,3.28,3.92,151,3.94,3.62,3.76,3.60,-
うなぎ屋 廣川,Hirokawa,3.92,Arashiyama,Unagi (Freshwater eel),+81-75-871-5226,3.80,3.92,300,3.92,3.69,3.87,3.61,3.59
実伶,Mirei,3.92,Marutamachi,Kappo (Traditional Japanese),+81-75-251-2007,3.92,-,20,3.92,3.76,3.78,3.66,3.89
蕎麦工房 膳,Sobakoubouzen,3.91,Nishi Muko,Soba,+81-75-934-2620,-,3.91,104,3.91,3.83,3.72,3.85,3.37
祇園 呂色,Gionroiro,3.91,Gion Shijo,French,+81-50-5595-0262,3.88,3.64,46,3.90,3.91,3.90,3.71,3.91
綾小路 唐津,Ayanokoujikaratsu,3.91,Shijo,Kaiseki (Traditional Japanese),+81-75-365-2227,3.58,3.89,13,3.91,3.97,3.99,4.00,3.58
老香港酒家京都,Orudohonkonresutorankyouto,3.90,Shijo,Chinese,+81-50-5593-3111,4.02,3.61,163,3.89,3.66,3.68,3.54,3.64
らぁ麺 とうひち,Touhichi,3.89,Kitaoji,Ramen,+81-75-432-8818,3.78,3.90,280,3.90,3.59,3.60,3.60,3.51
日本料理 櫻川,nihonryourisakuragawa,3.89,Kyoto Shiyakusho,Kaiseki (Traditional Japanese),+81-75-255-4477,3.71,3.94,62,3.91,3.89,3.66,3.72,3.63
晴耕雨読,Seikouudoku,3.89,Uji,Ramen,,-,3.89,56,3.85,3.65,3.59,3.61,3.63
祇園もりわき,Giommoriwaki,3.89,Gion Shijo,Kappo (Traditional Japanese),+81-75-525-1030,3.80,3.96,40,3.88,3.62,3.61,3.82,3.63
味舌,Mashita,3.89,Gion Shijo,Kaiseki (Traditional Japanese),+81-75-525-2160,3.92,3.58,31,3.89,3.63,3.59,3.61,3.58
祗園245,gionni-yongo,3.88,Sanjo Keihan,Italian,+81-50-5590-8481,3.87,3.75,42,3.88,3.58,3.64,3.65,3.67
串かんざし 久,Kushikanzashi Kyu,3.88,Sanjo,Kappo (Traditional Japanese),+81-75-255-4749,3.88,-,39,3.88,3.66,3.57,3.59,3.57
パティスリーエス,Pathisuriesu,3.87,Shijo,Cake,+81-75-361-5521,3.53,3.87,445,3.90,3.59,3.59,3.58,3.58
大市,Daiichi,3.87,Kitano Hakubaich,Suppon (Soft-shelled Turtle),+81-75-461-1775,3.72,3.79,137,3.87,3.68,3.83,3.58,3.55
Cucina Italiana 東洞,kuchi-naitaria-natoudou,3.87,Marutamachi,Italian,+81-75-212-5207,3.95,3.70,135,3.87,3.80,3.95,3.75,3.61
カルバドール,Calvador,3.87,Kyoto Shiyakusho,Bar,+81-75-211-4737,3.87,-,93,3.60,3.76,3.78,3.61,3.88
瓢亭 別館,Hyoutei,3.86,Keage,Kyoto Cuisine,+81-75-771-4116,3.12,3.91,207,3.85,3.62,3.85,3.63,3.65
大神,Ogami,3.86,Gion Shijo,Kappo (Traditional Japanese),+81-75-533-1611,3.84,3.68,85,3.83,3.65,3.58,4.08,3.59
いはら田,Iharada,3.86,Tambaguchi,Kyoto Cuisine,+81-75-314-8899,3.86,-,57,3.86,3.80,3.77,3.80,3.59
山元麺蔵,Yamamotomenzo,3.85,Higashiyama,Udon,+81-75-751-0677,3.66,3.87,844,3.83,3.96,3.62,3.62,3.56
肉料理　荒川,Arakawa,3.85,Kawaramachi,Yakiniku (BBQ Beef),+81-75-231-1050,3.85,3.57,102,3.85,3.86,3.61,3.78,3.65
中善,Nakazen,3.85,Mototanaka,Kappo (Traditional Japanese),+81-75-708-7519,3.72,3.89,66,3.85,3.85,3.63,3.95,3.74
なかむら,Nakamura,3.85,Gion Shijo,Sumibiyaki,+81-75-531-5865,3.85,-,30,3.82,3.80,3.78,3.87,3.68
割烹　梅津,Kappouumetsu,3.85,Gion Shijo,Kappo (Traditional Japanese),+81-75-531-0929,3.85,-,23,3.69,3.86,3.97,3.85,3.60
多来多来,Takutaku,3.84,Yodo,Yakiniku (BBQ Beef),+81-75-632-2929,3.84,3.06,148,3.85,3.67,3.61,3.85,3.58
京洛肉料理 いっしん,Kyourakunikuryouriisshin,3.84,Gion Shijo,Beef dishes,+81-75-531-5311,3.83,3.68,113,3.84,3.69,3.62,3.65,3.59
串たなか,Kushitanaka,3.84,Karasuma,Kushi-age (Fried Skewer),+81-50-5869-1115,3.84,3.35,99,3.84,3.59,3.61,3.64,3.58
祇園 なん波,Gionnamba,3.84,Gion Shijo,Kaiseki (Traditional Japanese),+81-75-525-0768,3.78,3.81,61,3.82,3.62,3.62,3.63,3.60
陶然亭,Touzentei,3.84,Sanjo Keihan,Kappo (Traditional Japanese),"ze}:￥8,000～￥9,999",3.83,3.61,39,3.84,3.84,3.80,3.90,3.58
手打ち蕎麦 かね井,teuchisobakanei,3.83,Kuramaguchi,Soba,+81-75-441-8283,3.55,3.80,257,3.85,3.60,3.82,3.60,3.59
パティスリー タンドレス,Pathisuritandoresu,3.83,Ichijoji,Cake,+81-75-706-5085,3.08,3.83,213,3.86,3.63,3.58,3.56,3.54
鮨まつもと,Sushimatsumoto,3.82,Gion Shijo,Sushi,+81-75-531-2031,3.67,3.90,116,3.82,3.70,3.82,3.59,3.59
露庵 菊乃井 木屋町店,Roankikunoi,3.82,Gion Shijo,Kaiseki (Traditional Japanese),+81-75-361-5580,3.68,3.80,101,3.80,3.71,3.73,3.64,3.70
祇園 鮨 忠保,Gionsushitadayasu,3.82,Gion Shijo,Sushi,+81-75-541-6611,3.60,4.05,38,3.82,3.61,4.20,3.59,3.58
ロッキングチェア,Bar Rocking chair,3.81,Kawaramachi,Bar,+81-75-496-8679,3.81,3.05,99,3.67,3.59,3.78,3.63,3.75
くずし懐石 縁,En,3.81,Imadegawa,Kaiseki (Traditional Japanese),+81-75-411-1822,3.69,4.03,29,3.86,3.97,3.69,3.65,3.61
たま木亭,Tamakitei,3.80,Obaku,Bread,+81-774-38-1801,3.44,3.79,198,3.77,3.58,3.59,3.58,3.17
川端道喜,Kawabatadouki,3.79,Kitayama,Japanese sweets,+81-75-781-8117,3.07,3.79,99,3.80,3.59,3.51,3.24,3.06
祇園 川上,gionkawakami,3.79,Gion Shijo,Kappo (Traditional Japanese),+81-75-561-2420,3.65,3.79,69,3.79,3.64,3.73,3.58,3.58
割烹 千ひろ,Chihiro,3.79,Gion Shijo,Kappo (Traditional Japanese),+81-75-561-6790,3.75,3.57,51,3.79,3.75,3.73,3.60,3.61
さか本,Sakamoto,3.79,Gion Shijo,Kappo (Traditional Japanese),+81-75-551-2136,3.66,3.81,28,3.78,3.52,3.72,3.64,3.56
イル・ギオットーネ 京都店,IL GHIOTTONE,3.78,Gion Shijo,Italian,+81-75-532-2550,3.61,3.85,314,3.79,3.62,3.70,3.61,3.60
鳥彌三,Toriyasa,3.78,Gion Shijo,Fowl,+81-75-351-0555,3.80,3.59,157,3.77,3.72,4.00,3.58,3.58
森林食堂,Shinrinshokudou,3.78,Nijo,Indian curry,+81-75-202-6665,3.52,3.78,120,3.78,3.59,3.60,3.59,3.58
近又,Kimmata,3.78,Kawaramachi,Kaiseki (Traditional Japanese),+81-75-221-1039,3.71,3.75,93,3.78,3.78,3.76,3.59,3.58
麺屋 裕,Menyahiro,3.78,Higashino,Ramen,,-,3.78,85,3.78,3.58,3.58,3.60,3.00
貴久政,Kikumasa,3.78,Gion Shijo,Kappo (Traditional Japanese),+81-75-525-2869,3.61,3.82,51,3.78,3.63,3.58,3.85,3.55
麺屋 たけ井 本店,Menyatakei,3.77,Nagaike,Tsukemen,+81-774-55-0900,3.61,3.78,318,3.75,3.66,3.59,3.59,3.51
とんかつ山本,Tonkatsuyamamoto,3.77,Kyoto Shiyakusho,Tonkatsu (Pork cutlet),+81-75-231-4495,3.54,3.84,67,3.78,3.58,3.58,3.58,3.82
隆兵そば,Ryuuheisoba,3.77,Katsura,Soba,+81-75-393-7130,3.50,3.76,59,3.77,3.72,3.62,3.63,3.60
おいと,Oito,3.77,Gion Shijo,Oden,+81-75-561-3575,3.51,3.83,53,3.78,3.68,3.75,3.59,3.22
祇園楽味,Gionrakumi,3.77,Gion Shijo,Kappo (Traditional Japanese),+81-75-531-3733,3.77,-,37,3.77,3.86,3.97,3.61,3.61
もり川,Morikawa,3.77,Kitayama,Sushi,+81-75-712-1297,3.77,3.58,19,3.77,3.59,3.58,3.87,3.58
松籟庵,Shouraian,3.76,Arashiyama,Kyoto Cuisine,+81-50-5869-2083,3.51,3.75,155,3.69,3.68,3.94,3.60,3.56
cenci,Cenci,3.76,Jingu Marutamach,Italian,+81-75-708-5307,3.61,3.76,48,3.76,3.69,3.76,3.63,3.71
辻政,Tsujimasa,3.76,Chushojima,Kappo (Traditional Japanese),+81-75-601-2030,3.76,3.20,23,3.76,3.67,3.73,3.65,3.61
グラン・ヴァニーユ,grains de vanille,3.75,Karasuma Oike,Cake,+81-75-241-7726,3.31,3.74,243,3.75,3.59,3.60,3.58,3.56
京料理 木乃婦,Kyouryourikinobu,3.75,Shijo,Kyoto Cuisine,+81-75-352-0001,3.74,3.59,92,3.76,3.70,3.65,3.55,3.57
江畑,Ebata,3.74,Kitano Hakubaich,Horumon (BBQ Offel),+81-75-463-8739,3.74,-,119,3.68,3.68,3.59,3.65,3.58
レーヌ デ プレ,Renudepure,3.74,Jingu Marutamach,French,+81-75-223-2337,3.56,3.81,42,3.74,3.59,3.58,3.58,3.58
コムシコムサ,comme ci comme ca,3.74,Higashiyama,French,+81-75-771-0296,3.70,3.66,21,3.73,3.78,3.75,3.75,3.57
ぎをん 福志,Giwonfukushi,3.74,Gion Shijo,Kaiseki (Traditional Japanese),+81-75-354-5314,3.74,-,8,3.74,3.73,3.73,3.65,3.54
ル・プチメック 今出川店,Le Petit Mec,3.73,Imadegawa,Bread,+81-75-432-1444,3.30,3.73,355,3.73,3.58,3.60,3.58,3.52
麺屋 猪一,menyainoichi,3.73,Kawaramachi,Ramen,,3.64,3.70,352,3.72,3.64,3.59,3.58,3.54
グリルフレンチ,Grill French,3.73,Nijojo Mae,Western Cuisine,+81-75-213-5350,3.61,3.71,182,3.77,3.64,3.63,3.61,3.58
モリタ屋 木屋町店,Moritaya,3.73,Sanjo,Sukiyaki,+81-75-231-5118,3.72,3.72,164,3.72,3.60,3.74,3.58,3.58
観山,Kanzan,3.73,Shijo,Kaiseki (Traditional Japanese),+81-50-5595-9697,3.75,3.54,13,3.75,3.72,3.76,3.65,3.71
龍のひげ,Ryuunohige,3.72,Kyoto Shiyakusho,Kyoto Cuisine,+81-50-5869-9458,3.75,3.53,74,3.70,3.66,3.59,3.73,3.62
紫野和久傳 大徳寺店,Murasakinowakuden,3.72,Kitaoji,Japanese food (other),+81-75-495-6161,3.16,3.87,63,3.74,3.60,3.55,3.59,3.12
松寿軒,Shoujuken,3.72,Kiyomizu Gojo,Japanese sweets,+81-75-561-4030,3.20,3.72,52,3.72,3.73,3.59,3.67,3.06
有恒,Aritsune,3.72,Kyoto Shiyakusho,Kappo (Traditional Japanese),+81-75-212-7587,3.72,-,32,3.73,3.71,3.72,3.73,3.75
麺屋 たけ井 R1号店,menyatakei,3.71,Kuzuha,Tsukemen,+81-75-982-2288,3.56,3.68,237,3.72,3.59,3.59,3.58,3.24
紫野和久傳 ジェイアール京都伊勢丹店,Murasakinowakuden,3.71,Kyoto,Kyoto Cuisine,+81-75-352-0345,3.63,3.72,138,3.74,3.51,3.43,3.59,3.04
おがわ,Ogawa,3.71,Kitaoji,Soba,+81-75-495-8281,3.02,3.71,101,3.68,3.59,3.59,3.61,3.58
まとの,matono,3.71,Gion Shijo,Kappo (Traditional Japanese),+81-75-531-0202,3.63,3.70,66,3.71,3.72,3.62,3.67,3.58
聚洸,Jukou,3.71,Kuramaguchi,Japanese sweets,+81-75-431-2800,3.06,3.71,49,3.71,3.66,3.63,3.63,3.06
ル・キャトーズィエム,le 14e,3.71,Jingu Marutamach,Bistro,+81-75-231-7009,3.71,3.06,49,3.71,3.58,3.54,3.57,3.47
焼肉矢澤 京都,Yakinikuyazawakyouto,3.71,Shijo,Yakiniku (BBQ Beef),+81-50-2018-1876,3.71,-,45,3.70,3.73,3.65,3.59,3.56
祇園　元勢,Giommotose,3.71,Gion Shijo,Kappo (Traditional Japanese),+81-75-541-8728,3.71,-,22,3.71,3.74,3.66,3.71,3.69
無鉄砲 本店,Muteppou,3.70,Kizu,Ramen,+81-774-73-9060,3.61,3.67,477,3.72,3.59,3.58,3.58,3.14
丸太町十二段家,Marutamachijuunidanya,3.70,Marutamachi,Kappo (Traditional Japanese),+81-75-211-5884,3.52,3.71,267,3.68,3.60,3.59,3.62,3.58
むろい,Muroi,3.70,Kitaoji,Kaiseki (Traditional Japanese),+81-75-491-7755,3.70,-,9,3.70,3.67,4.34,3.87,4.07
あいつのラーメン かたぐるま,Aitsunoramenkataguruma,3.69,Tambaguchi,Ramen,,3.61,3.70,291,3.68,3.59,3.59,3.59,3.26
炭焼創彩鳥家 人見,Sumiyakisousaitoriyahitomi,3.69,Sanjo Keihan,Yakitori (Grilled chicken),+81-75-771-7818,3.69,-,153,3.69,3.84,3.65,3.74,3.64
祇をん う桶や う,gionuokeyau,3.69,Gion Shijo,Unagi (Freshwater eel),+81-75-551-9966,3.59,3.72,130,3.65,3.58,3.62,3.58,3.55
アサンブラージュ カキモト,ASSEMBLAGES KAKIMOTO,3.69,Jingu Marutamach,Chocolate,+81-75-202-1351,3.42,3.70,116,3.70,3.58,3.60,3.58,3.58
麺屋 さん田,Menyasanta,3.69,Saiin,Ramen,,3.11,3.70,77,3.67,3.56,3.57,3.58,3.00
祇園ろはん,Gionrohan,3.69,Gion Shijo,Kyoto Cuisine,+81-75-533-7665,3.69,-,39,3.65,3.59,3.59,3.58,3.56
レ・シャンドール,Reshandoru,3.69,Karasuma,French,+81-75-255-2277,3.24,3.68,35,3.70,3.61,3.61,3.65,3.58
京うどん 生蕎麦 岡北,kyouudonnamasobaokakita,3.68,Higashiyama,Udon,+81-75-771-4831,3.61,3.66,449,3.68,3.61,3.64,3.59,3.58
中村軒,Nakamuraken,3.68,Katsura,Japanese sweets,+81-75-381-2650,3.55,3.69,377,3.66,3.58,3.60,3.58,3.54
京都祇園 天ぷら八坂圓堂,Kyoutogiontempurayasakaendou,3.68,Gion Shijo,Tempura,+81-50-5868-2875,3.64,3.67,260,3.66,3.86,4.16,3.58,3.59
宝泉 JR新幹線京都駅店,Housen,3.68,Kyoto,Japanese sweets,+81-75-693-9103,3.64,3.67,185,3.66,3.58,3.58,3.56,3.58
神馬,Shimme,3.68,Kitano Hakubaich,Izakaya (Tavern),+81-75-461-3635,3.68,-,90,3.70,3.59,3.59,3.55,3.58
